colour,tone,season,llm_content,llm_content_metric_attempts_used,metric_attempts_used,retry_attempts,retry_max_attempts,retry_history
sage,neutral,spring,Sage Tortoise,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7244470119476318}]"
denim,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6372530460357666}]"
cobalt,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6985852718353271}]"
ochre,dark,autumn,Owl,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5416944026947021}]"
brick,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5354533195495605}]"
chocolate,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5401721000671387}]"
coffee,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.538130521774292}]"
mulberry,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5399765968322754}]"
orchid,light,spring,Orchid Finch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7317931652069092}]"
papaya,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6352813243865967}]"
apricot,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 1.1694896221160889}]"
sand,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6249263286590576}]"
sky,light,spring,Bluebird,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5474636554718018}]"
slate,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6354644298553467}]"
mahogany,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7577962875366211}]"
hunter,dark,winter,ArcticFox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6305370330810547}]"
mint green,light,spring,Greenfinch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6908564567565918}]"
seafoam,light,spring,Seafoam Salamander,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.9168059825897217}]"
steel,neutral,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.629798173904419}]"
burnt orange,dark,autumn,Harvest Mouse,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6370232105255127}]"
butterscotch,light,summer,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6409478187561035}]"
claret,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5400724411010742}]"
copper,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.540485143661499}]"
eggplant,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5505120754241943}]"
fern,light,spring,Peacock,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5474789142608643}]"
firebrick,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.541020393371582}]"
garnet,dark,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6416237354278564}]"
heliotrope,light,spring,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6524348258972168}]"
ice blue,light,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6382038593292236}]"
jade,dark,spring,Emerald Ibis,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7294526100158691}]"
lemon,light,summer,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6290593147277832}]"
moss,dark,autumn,Moss,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5401813983917236}]"
opal,light,spring,Peacock,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5462422370910645}]"
pearl,light,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6349532604217529}]"
pewter,neutral,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6396219730377197}]"
pine,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6338584423065186}]"
quartz,light,spring,Springbok,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6448507308959961}]"
rose,light,spring,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6354472637176514}]"
ruby,dark,winter,Snowy Owl,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6291663646697998}]"
rust,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5345373153686523}]"
shamrock,light,spring,Greenfinch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.647193193435669}]"
smoke,neutral,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6365091800689697}]"
spruce,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.635810136795044}]"
stone,neutral,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6305623054504395}]"
sunflower,light,summer,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6311163902282715}]"
tangerine,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6364822387695312}]"
thistle,light,spring,Springbok,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6406252384185791}]"
topaz,light,autumn,Harvest Mouse,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6280882358551025}]"
ultramarine,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.647435188293457}]"
wisteria,light,spring,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6478567123413086}]"
